Sand_Type,Interface_Mode,Bedding_Angle_theta_deg,Normal_Stress_?n_kPa,Peak_Shear_Stress_?peak_kPa,tan (?),Friction_Angle_?
River Sand,Sand-Sand,0,27.25,26.4163,0.9694,44.11
River Sand,Sand-Sand,15,27.25,29.9369,1.0986,47.69
River Sand,Sand-Sand,30,27.25,34.344,1.2603,51.57
River Sand,Sand-Sand,45,27.25,38.7441,1.4218,54.88
River Sand,Sand-Concrete,0,27.25,14.5318,0.5333,28.07
River Sand,Sand-Concrete,0,54.5,29.0636,0.5333,28.07
River Sand,Sand-Concrete,0,109,58.1273,0.5333,28.07
River Sand,Sand-Concrete,15,27.25,14.987,0.55,28.81
River Sand,Sand-Concrete,15,54.5,29.974,0.55,28.81
River Sand,Sand-Concrete,15,109,59.948,0.55,28.81
River Sand,Sand-Concrete,30,27.25,15.2295,0.5589,29.2
River Sand,Sand-Concrete,30,54.5,30.459,0.5589,29.2
River Sand,Sand-Concrete,30,109,60.918,0.5589,29.2
River Sand,Sand-Concrete,45,27.25,16.2894,0.5978,30.87
River Sand,Sand-Concrete,45,54.5,32.5788,0.5978,30.87
River Sand,Sand-Concrete,45,109,65.1577,0.5978,30.87
Crushed Sand,Sand-Sand,0,27.25,32.9982,1.2109,50.45
Crushed Sand,Sand-Sand,0,54.5,65.9964,1.2109,50.45
Crushed Sand,Sand-Sand,0,109,131.9927,1.2109,50.45
Crushed Sand,Sand-Sand,15,27.25,37.5064,1.3764,54
Crushed Sand,Sand-Sand,15,54.5,75.0128,1.3764,54
Crushed Sand,Sand-Sand,15,109,150.0256,1.3764,54
Crushed Sand,Sand-Sand,30,27.25,40.999,1.5046,56.39
Crushed Sand,Sand-Sand,30,54.5,81.998,1.5046,56.39
Crushed Sand,Sand-Sand,30,109,163.9961,1.5046,56.39
Crushed Sand,Sand-Sand,45,27.25,43.0055,1.5782,57.64
Crushed Sand,Sand-Sand,45,54.5,86.0109,1.5782,57.64
Crushed Sand,Sand-Sand,45,109,172.0219,1.5782,57.64
Crushed Sand,Sand-Concrete,0,27.25,14.9684,0.5493,28.78
Crushed Sand,Sand-Concrete,0,54.5,29.9369,0.5493,28.78
Crushed Sand,Sand-Concrete,0,109,59.8737,0.5493,28.78
Crushed Sand,Sand-Concrete,15,27.25,15.5242,0.5697,29.67
Crushed Sand,Sand-Concrete,15,54.5,31.0484,0.5697,29.67
Crushed Sand,Sand-Concrete,15,109,62.0969,0.5697,29.67
Crushed Sand,Sand-Concrete,30,27.25,15.8662,0.5822,30.21
Crushed Sand,Sand-Concrete,30,54.5,31.7325,0.5822,30.21
Crushed Sand,Sand-Concrete,30,109,63.465,0.5822,30.21
Crushed Sand,Sand-Concrete,45,27.25,16.3346,0.5994,30.94
Crushed Sand,Sand-Concrete,45,54.5,32.6693,0.5994,30.94
Crushed Sand,Sand-Concrete,45,109,65.3386,0.5994,30.94
