Sand_Type,Interface_Mode,Normal_Stress_sigma_n_kPa,Bedding_Angle_theta_deg,Shear_Displacement_u_mm,Shear_Stress_tau_kPa,Data_Type
River Sand,Sand-Sand,27.25,0,0,0,experimental_digitised
River Sand,Sand-Sand,27.25,0,0.12,2.642,experimental_digitised
River Sand,Sand-Sand,27.25,0,0.24,5.283,experimental_digitised
River Sand,Sand-Sand,27.25,0,0.36,7.925,experimental_digitised
River Sand,Sand-Sand,27.25,0,0.48,10.566,experimental_digitised
River Sand,Sand-Sand,27.25,0,0.6,13.208,experimental_digitised
River Sand,Sand-Sand,27.25,0,0.72,15.85,experimental_digitised
River Sand,Sand-Sand,27.25,0,0.84,18.491,experimental_digitised
River Sand,Sand-Sand,27.25,0,0.96,21.133,experimental_digitised
River Sand,Sand-Sand,27.25,0,1.08,23.774,experimental_digitised
River Sand,Sand-Sand,27.25,0,1.2,26.416,experimental_digitised
River Sand,Sand-Sand,27.25,0,1.43,26.284,experimental_digitised
River Sand,Sand-Sand,27.25,0,1.66,26.152,experimental_digitised
River Sand,Sand-Sand,27.25,0,1.89,26.02,experimental_digitised
River Sand,Sand-Sand,27.25,0,2.12,25.888,experimental_digitised
River Sand,Sand-Sand,27.25,0,2.35,25.756,experimental_digitised
River Sand,Sand-Sand,27.25,0,2.58,25.624,experimental_digitised
River Sand,Sand-Sand,27.25,0,2.81,25.491,experimental_digitised
River Sand,Sand-Sand,27.25,0,3.04,25.359,experimental_digitised
River Sand,Sand-Sand,27.25,0,3.27,25.227,experimental_digitised
River Sand,Sand-Sand,27.25,0,3.5,25.095,experimental_digitised
River Sand,Sand-Sand,27.25,15,0,0,experimental_digitised
River Sand,Sand-Sand,27.25,15,0.12,2.994,experimental_digitised
River Sand,Sand-Sand,27.25,15,0.24,5.987,experimental_digitised
River Sand,Sand-Sand,27.25,15,0.36,8.981,experimental_digitised
River Sand,Sand-Sand,27.25,15,0.48,11.975,experimental_digitised
River Sand,Sand-Sand,27.25,15,0.6,14.969,experimental_digitised
River Sand,Sand-Sand,27.25,15,0.72,17.962,experimental_digitised
River Sand,Sand-Sand,27.25,15,0.84,20.956,experimental_digitised
River Sand,Sand-Sand,27.25,15,0.96,23.95,experimental_digitised
River Sand,Sand-Sand,27.25,15,1.08,26.943,experimental_digitised
River Sand,Sand-Sand,27.25,15,1.2,29.937,experimental_digitised
River Sand,Sand-Sand,27.25,15,1.43,29.787,experimental_digitised
River Sand,Sand-Sand,27.25,15,1.66,29.638,experimental_digitised
River Sand,Sand-Sand,27.25,15,1.89,29.488,experimental_digitised
River Sand,Sand-Sand,27.25,15,2.12,29.338,experimental_digitised
River Sand,Sand-Sand,27.25,15,2.35,29.189,experimental_digitised
River Sand,Sand-Sand,27.25,15,2.58,29.039,experimental_digitised
River Sand,Sand-Sand,27.25,15,2.81,28.889,experimental_digitised
River Sand,Sand-Sand,27.25,15,3.04,28.74,experimental_digitised
River Sand,Sand-Sand,27.25,15,3.27,28.59,experimental_digitised
River Sand,Sand-Sand,27.25,15,3.5,28.44,experimental_digitised
River Sand,Sand-Sand,27.25,30,0,0,experimental_digitised
River Sand,Sand-Sand,27.25,30,0.12,3.434,experimental_digitised
River Sand,Sand-Sand,27.25,30,0.24,6.869,experimental_digitised
River Sand,Sand-Sand,27.25,30,0.36,10.303,experimental_digitised
River Sand,Sand-Sand,27.25,30,0.48,13.738,experimental_digitised
River Sand,Sand-Sand,27.25,30,0.6,17.172,experimental_digitised
River Sand,Sand-Sand,27.25,30,0.72,20.606,experimental_digitised
River Sand,Sand-Sand,27.25,30,0.84,24.041,experimental_digitised
River Sand,Sand-Sand,27.25,30,0.96,27.475,experimental_digitised
River Sand,Sand-Sand,27.25,30,1.08,30.91,experimental_digitised
River Sand,Sand-Sand,27.25,30,1.2,34.344,experimental_digitised
